Name,IC50,SMILES
4527,10.08,CC(c1ccccc1)CC(=O)N1CCC(Cn2cnc3c(c2=O)ccc(c3)NCc2occc2)(O)CC1
4527,10.08,C1CN(C(=O)[C@@H]2CCCC(F)(F)[C@H]2c2ccccc2)CCC1(Cn1cnc2c(ccn2-c2ccccc2)c1=O)O
4527,10.08,c12c(ncn(CC3(O)CCN(CC3)C(=O)[C@H]3[C@H](c4ncsc4)CC(F)(CC3)F)c1=O)c(sc2)-c1ccccc1
4527,10.08,c1(C#N)c(nc2-c3c(cc(OC)c(OC)c3)C(=O)c2n1)C#N
3977,10.1,o1cccc1CNc1cc2ncn(CC3(CCN(CC3)C(CC(C)c3ccccc3)=O)O)c(=O)c2cc1
3977,10.1,C1CC(CCN1C(=O)[C@H]1[C@H](c2ccccc2)C(F)(CCC1)F)(Cn1c(=O)c2ccn(-c3ccccc3)c2nc1)O
3977,10.1,C1C(F)(F)CC[C@H]([C@@H]1c1ncsc1)C(N1CCC(CC1)(O)Cn1c(c2csc(c2nc1)-c1ccccc1)=O)=O
3977,10.1,C1(F)(CC[C@@H](c2ccccc2)[C@H](C(=O)N2CCC(Cn3cnc4c(c3=O)csc4-c3ccccc3)(O)CC2)C1)F
3978,10.1,c1(c2ccc(NCc3occc3)cc2ncn1CC1(CCN(C(CC(C)c2ccccc2)=O)CC1)O)=O
3978,10.1,C1C(Cn2c(=O)c3ccn(-c4ccccc4)c3nc2)(CCN(C1)C(=O)[C@@H]1CCCC(F)([C@H]1c1ccccc1)F)O
3978,10.1,OC1(Cn2c(c3c(nc2)c(-c2ccccc2)sc3)=O)CCN(C(=O)[C@@H]2CC(F)(CC[C@H]2c2ccccc2)F)CC1
4176,10.2,c1(C(CC(N2CCC(Cn3c(c4ccc(NCc5occc5)cc4nc3)=O)(CC2)O)=O)C)ccccc1
4176,10.2,c1([C@@H]2C(F)(CCC[C@H]2C(N2CCC(CC2)(Cn2c(=O)c3c(nc2)n(-c2ccccc2)cc3)O)=O)F)ccccc1
4176,10.2,n1c2C(c3c(cc(c(c3)OC)OC)-c2nc(C#N)c1C#N)=O
3976,10.3,c12cc(ccc1c(n(CC1(CCN(CC1)C(CC(C)c1ccccc1)=O)O)cn2)=O)NCc1occc1
3976,10.3,c1n(-c2ccccc2)c2c(c1)c(=O)n(CC1(O)CCN(C(=O)[C@@H]3CCCC(F)(F)[C@H]3c3ccccc3)CC1)cn2
3976,10.3,c1cccc(-c2scc3c(=O)n(CC4(CCN(CC4)C(=O)[C@H]4[C@@H](CC(F)(CC4)F)c4cscn4)O)cnc32)c1
3976,10.3,O=C1c2c(nc(C#N)c(C#N)n2)-c2c1cc(c(c2)OC)OC
3976,10.3,C1(Cn2c(c3csc(c3nc2)-c2ccccc2)=O)(CCN(CC1)C([C@H]1[C@@H](CCC(C1)(F)F)c1ccccc1)=O)O
3975,10.5,O=C(CC(c1ccccc1)C)N1CCC(O)(CC1)Cn1c(c2c(cc(NCc3occc3)cc2)nc1)=O
3975,10.5,N1(C([C@@H]2CCCC(F)([C@H]2c2ccccc2)F)=O)CCC(O)(Cn2c(c3ccn(-c4ccccc4)c3nc2)=O)CC1
3975,10.5,[C@@H]1(C(N2CCC(O)(Cn3cnc4c(csc4-c4ccccc4)c3=O)CC2)=O)CCC(F)(C[C@H]1c1ncsc1)F
3975,10.5,C1C(F)(F)C[C@H]([C@@H](C1)c1ccccc1)C(=O)N1CCC(O)(CC1)Cn1cnc2c(scc2c1=O)-c1ccccc1
3672,11,C1N(CCC(C1)(O)Cn1c(c2ccc(NCc3ccco3)cc2nc1)=O)C(CC(C)c1ccccc1)=O
3672,11,C1(F)(F)[C@H]([C@@H](CCC1)C(=O)N1CCC(Cn2c(c3ccn(c3nc2)-c2ccccc2)=O)(CC1)O)c1ccccc1
3672,11,FC1(CC[C@H]([C@@H](C1)c1cscn1)C(=O)N1CCC(Cn2c(=O)c3csc(c3nc2)-c2ccccc2)(O)CC1)F
3672,11,n1c2c(-c3c(C2=O)cc(OC)c(c3)OC)nc(c1C#N)C#N
3673,11,c1(ccccc1)C(CC(N1CCC(CC1)(Cn1c(c2c(cc(cc2)NCc2ccco2)nc1)=O)O)=O)C
3673,11,c1ccc(-n2ccc3c(=O)n(cnc32)CC2(O)CCN(C(=O)[C@H]3[C@H](c4ccccc4)C(CCC3)(F)F)CC2)cc1
3673,11,c1sc(c2c1c(=O)n(cn2)CC1(CCN(CC1)C(=O)[C@H]1[C@@H](CC(F)(CC1)F)c1cscn1)O)-c1ccccc1
3673,11,O(c1c(OC)cc2C(c3nc(C#N)c(C#N)nc3-c2c1)=O)C
3673,11,FC1(CC[C@@H](c2ccccc2)[C@@H](C1)C(=O)N1CCC(CC1)(O)Cn1cnc2c(scc2c1=O)-c1ccccc1)F
3674,11,n1(CC2(CCN(C(=O)CC(c3ccccc3)C)CC2)O)cnc2c(ccc(c2)NCc2ccco2)c1=O
3674,11,c1nc2c(c(=O)n1CC1(CCN(C(=O)[C@@H]3CCCC([C@H]3c3ccccc3)(F)F)CC1)O)ccn2-c1ccccc1
3674,11,c1(-c2c3ncn(CC4(O)CCN(CC4)C(=O)[C@@H]4CCC(C[C@H]4c4cscn4)(F)F)c(=O)c3cs2)ccccc1
3674,11,C1(c2nc(c(nc2-c2cc(OC)c(cc21)OC)C#N)C#N)=O
3674,11,FC1(CC[C@H]([C@@H](C1)C(=O)N1CCC(CC1)(O)Cn1cnc2c(csc2-c2ccccc2)c1=O)c1ccccc1)F
3675,11,c1ccc(cc1)C(CC(=O)N1CCC(Cn2cnc3cc(NCc4ccco4)ccc3c2=O)(O)CC1)C
3675,11,c1(c(nc2C(c3cc(OC)c(OC)cc3-c2n1)=O)C#N)C#N
3676,11,C(C(N1CCC(Cn2c(=O)c3c(nc2)cc(cc3)NCc2ccco2)(O)CC1)=O)C(C)c1ccccc1
3676,11,N1(C(=O)[C@@H]2CCCC(F)([C@H]2c2ccccc2)F)CCC(Cn2cnc3c(ccn3-c3ccccc3)c2=O)(CC1)O
3676,11,C1(O)(CCN(C([C@H]2[C@H](c3cscn3)CC(F)(F)CC2)=O)CC1)Cn1cnc2c(c1=O)csc2-c1ccccc1
3676,11,c1(c(C#N)nc2c(-c3cc(OC)c(OC)cc3C2=O)n1)C#N
3676,11,c1(-c2ccccc2)scc2c1ncn(CC1(O)CCN(CC1)C([C@@H]1CC(F)(CC[C@H]1c1ccccc1)F)=O)c2=O
3677,11,c1cc(C(C)CC(=O)N2CCC(O)(CC2)Cn2c(=O)c3c(cc(NCc4occc4)cc3)nc2)ccc1
3677,11,c1(ncsc1)[C@H]1[C@H](C(N2CCC(O)(CC2)Cn2cnc3c(c2=O)csc3-c2ccccc2)=O)CCC(F)(C1)F
3677,11,c1(C#N)c(C#N)nc2c(C(c3c-2cc(c(OC)c3)OC)=O)n1
3678,11,c1(n(CC2(O)CCN(C(CC(c3ccccc3)C)=O)CC2)cnc2c1ccc(c2)NCc1ccco1)=O
3678,11,n1(c2c(c(n(CC3(O)CCN(C([C@@H]4CCCC(F)([C@H]4c4ccccc4)F)=O)CC3)cn2)=O)cc1)-c1ccccc1
3678,11,c1(ccccc1)-c1scc2c(=O)n(cnc21)CC1(CCN(CC1)C(=O)[C@@H]1CCC(C[C@H]1c1ncsc1)(F)F)O
3678,11,c1c(c(OC)cc2C(c3nc(C#N)c(nc3-c21)C#N)=O)OC
3678,11,C(=O)(N1CCC(CC1)(O)Cn1cnc2c(-c3ccccc3)scc2c1=O)[C@H]1[C@@H](CCC(F)(C1)F)c1ccccc1
3679,11,c1cc(ccc1)-n1c2ncn(CC3(O)CCN(C([C@H]4[C@@H](C(F)(CCC4)F)c4ccccc4)=O)CC3)c(=O)c2cc1
3679,11,c1c(cccc1)-c1c2c(cs1)c(=O)n(cn2)CC1(O)CCN(C([C@@H]2CCC(F)(C[C@H]2c2cscn2)F)=O)CC1
3679,11,c12C(=O)c3c(-c2nc(c(n1)C#N)C#N)cc(c(c3)OC)OC
3679,11,C1CC(F)(F)C[C@H]([C@@H]1c1ccccc1)C(N1CCC(CC1)(O)Cn1cnc2c(c1=O)csc2-c1ccccc1)=O
3680,11,c1ccc(C(CC(=O)N2CCC(O)(CC2)Cn2cnc3cc(NCc4occc4)ccc3c2=O)C)cc1
3680,11,c1(-n2c3c(c(=O)n(CC4(CCN(CC4)C(=O)[C@@H]4CCCC(F)([C@H]4c4ccccc4)F)O)cn3)cc2)ccccc1
3680,11,[C@H]1(CC(F)(F)CC[C@H]1C(=O)N1CCC(CC1)(O)Cn1cnc2c(-c3ccccc3)scc2c1=O)c1cscn1
3680,11,c1c(c(OC)cc2c1C(=O)c1nc(C#N)c(nc-21)C#N)OC
3680,11,FC1(CC[C@H]([C@@H](C1)C(=O)N1CCC(CC1)(Cn1cnc2c(scc2c1=O)-c1ccccc1)O)c1ccccc1)F
3681,11,N(Cc1occc1)c1ccc2c(n(cnc2c1)CC1(CCN(C(=O)CC(c2ccccc2)C)CC1)O)=O
3681,11,c1cccc([C@H]2[C@@H](CCCC2(F)F)C(=O)N2CCC(O)(CC2)Cn2c(=O)c3c(nc2)n(cc3)-c2ccccc2)c1
3681,11,[C@H]1(CC(CC[C@H]1C(N1CCC(CC1)(O)Cn1cnc2c(-c3ccccc3)scc2c1=O)=O)(F)F)c1cscn1
3681,11,c12cc(c(OC)cc1-c1nc(C#N)c(nc1C2=O)C#N)OC
