SMILES,Name,IC50,Unit
O=C(NCCN1CCOCC1)c1ccc(N(Sc2c(Cl)cncc2Cl)C(=O)c2cc([N+](=O)[O-])cs2)cc1,1,1.18,¦ÌM
CN(C)CCN1CCN(C(=O)c2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,2,2.5,¦ÌM
CN1CCC(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,3,2.85,¦ÌM
CN1CCN(C(=O)c2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,4,2.96,¦ÌM
CN1CCN(CC(=O)NCc2ccc(N(Sc3c(Cl)cncc3Cl)C(=O)c3cc([N+](=O)[O-])cs3)cc2)CC1,5,3.65,¦ÌM
CN1CCC(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)C1,6,4.45,¦ÌM
CN1CCCC(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,7,4.56,¦ÌM
O=C(NCCN1CCOCC1)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1,8,4.59,¦ÌM
CN(C)CCN1CCN(C(=O)N2CCN(CCN(C)C)CC2c2cc([N+](=O)[O-])c(Sc3c(Cl)cncc3Cl)s2)C(c2cc([N+](=O)[O-])c(Sc3c(Cl)cncc3Cl)s2)C1,9,6.59,¦ÌM
CN1CCCN(c2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,10,6.9,¦ÌM
CN1CCN(CC(=O)Nc2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,11,7.26,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CNCCC1F,12,1,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C5COC5)c4=O)sc23)c1OC1CCCNC1,13,1,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CNCC(C)(C)C1,14,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CC(N)C1,15,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCCNCC1,16,1,¦ÌM
Cc1cc(C#N)cc(-c2ccnc3ccsc23)c1OCC1(C#N)CNC1,17,1,¦ÌM
CCC(O)c1cc2nccc(-c3cc(C#N)cc(C)c3OCC3(C#N)CNC3)c2s1,18,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC1(C#N)CNC1,19,1,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CN(C)C4=O)sc23)c1OCC1(C)CNC1,20,1,¦ÌM
Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC1(C#N)CNC1,21,0.5,¦ÌM
CCC(O)c1cc2nccc(-c3cc(Cl)cc(C)c3OCC3(CC)CNC3)c2s1,22,0.5,¦ÌM
CCC(O)c1cc2nccc(-c3cc(Cl)cc(C)c3OCC3(C#N)CNC3)c2s1,23,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CO)sc23)c1OCC1(C#N)CNC1,24,1,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3ccsc23)c1OCC1(C)CNC1,25,0.5,¦ÌM
Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC1(C)CNC1,26,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC12CNCC1C2,27,0.5,¦ÌM
CNC1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)C1,28,0.5,¦ÌM
O=C1CCC(=O)N1Cc1cc2nccc(-c3cc(C(F)(F)F)cc(Cl)c3OC3CNCC3F)c2s1,29,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCC(N)C1,30,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CNC1,31,0.5,¦ÌM
Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1F,32,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3c(F)c(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1F,33,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1N=[N+]=[N-],34,0.5,¦ÌM
CC(=O)NCc1cc2nccc(-c3cc(Cl)cc(C)c3OC3CNCC3F)c2s1,35,0.5,¦ÌM
CCC(O)c1cc2ncnc(-c3cc(C#N)cc(C)c3OC3CNCC3F)c2s1,36,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1F,37,0.5,¦ÌM
