Name,canonical smi,IC50,Unit,Source,Source type
1,O=C(NCCN1CCOCC1)c1ccc(N(Sc2c(Cl)cncc2Cl)C(=O)c2cc([N+](=O)[O-])cs2)cc1,1.18,uM,CN109096271,Patent
2,CN(C)CCN1CCN(C(=O)c2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,2.5,uM,CN109096271,Patent
3,CN1CCC(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,2.85,uM,CN109096271,Patent
4,CN1CCN(C(=O)c2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,2.96,uM,CN109096271,Patent
5,CN1CCN(CC(=O)NCc2ccc(N(Sc3c(Cl)cncc3Cl)C(=O)c3cc([N+](=O)[O-])cs3)cc2)CC1,3.65,uM,CN109096271,Patent
6,CN1CCC(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)C1,4.45,uM,CN109096271,Patent
7,CN1CCCC(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,4.56,uM,CN109096271,Patent
8,O=C(NCCN1CCOCC1)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1,4.59,uM,CN109096271,Patent
9,CN(C)CCN1CCN(C(=O)N2CCN(CCN(C)C)CC2c2cc([N+](=O)[O-])c(Sc3c(Cl)cncc3Cl)s2)C(c2cc([N+](=O)[O-])c(Sc3c(Cl)cncc3Cl)s2)C1,6.59,uM,CN109096271,Patent
10,CN1CCCN(c2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,6.9,uM,CN109096271,Patent
11,CN1CCN(CC(=O)Nc2ccc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)cc2)CC1,7.26,uM,CN109096271,Patent
12,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CNCCC1F,1,uM,US20190142834A1,Patent
13,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C5COC5)c4=O)sc23)c1OC1CCCNC1,1,uM,US20190142834A1,Patent
14,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CNCC(C)(C)C1,0.5,uM,US20190142834A1,Patent
15,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CC(N)C1,0.5,uM,US20190142834A1,Patent
16,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCCNCC1,1,uM,US20190142834A1,Patent
17,Cc1cc(C#N)cc(-c2ccnc3ccsc23)c1OCC1(C#N)CNC1,1,uM,US20190142834A1,Patent
18,CCC(O)c1cc2nccc(-c3cc(C#N)cc(C)c3OCC3(C#N)CNC3)c2s1,0.5,uM,US20190142834A1,Patent
19,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC1(C#N)CNC1,1,uM,US20190142834A1,Patent
20,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CN(C)C4=O)sc23)c1OCC1(C)CNC1,1,uM,US20190142834A1,Patent
21,Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC1(C#N)CNC1,0.5,uM,US20190142834A1,Patent
22,CCC(O)c1cc2nccc(-c3cc(Cl)cc(C)c3OCC3(CC)CNC3)c2s1,0.5,uM,US20190142834A1,Patent
23,CCC(O)c1cc2nccc(-c3cc(Cl)cc(C)c3OCC3(C#N)CNC3)c2s1,0.5,uM,US20190142834A1,Patent
24,Cc1cc(Cl)cc(-c2ccnc3cc(CO)sc23)c1OCC1(C#N)CNC1,1,uM,US20190142834A1,Patent
25,Cc1cc(Cl)cc(-c2ccnc3ccsc23)c1OCC1(C)CNC1,0.5,uM,US20190142834A1,Patent
26,Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC1(C)CNC1,0.5,uM,US20190142834A1,Patent
27,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC12CNCC1C2,0.5,uM,US20190142834A1,Patent
28,CNC1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)C1,0.5,uM,US20190142834A1,Patent
29,O=C1CCC(=O)N1Cc1cc2nccc(-c3cc(C(F)(F)F)cc(Cl)c3OC3CNCC3F)c2s1,0.5,uM,US20190142834A1,Patent
