,_Name,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CC(C)CNC(=O)c1ccccc1[N-]S(=O)(=O)c1ccc([N+](=O)[O-])cc1,4536,12.45542583,-4.120685692,12.45542583,0.006582315,0.586442875,376.414,358.27,376.0972653,138,0,0.269006591,-0.572060868,0.572060868,0.269006591,1.153846154,1.769230769,2.346153846,32.2332717,10.13412596,2.120551358,-2.243556447,2.310500224,-2.269810169,7.939533164,-0.384470839,2.265048596,908.25052,19.31962648,14.24717614,15.06367272,12.20321449,7.80173747,9.241800799,5.938385262,7.542496649,3.383469202,4.688408059,2.059301811,3.062888481,-2.94,431680.4716,19.38559223,7.959731501,4.790509299,150.988206,10.03888347,10.02329115,0,5.907179729,5.687386275,0,14.90885545,8.417796984,0,5.687386275,38.11294267,18.05064018,24.24094203,9.818794524,18.13564522,27.30524343,0,5.316788604,5.917906046,18.74295787,6.544756406,68.93080117,0,0,5.316788604,11.37477255,0,0,25.79304417,10.02329115,16.03222431,24.20546308,53.42642002,0,4.722094864,0,120.48,20.85378193,23.32665244,0,27.75161356,6.544756406,24.26546827,12.13273414,12.13273414,13.8474744,10.03888347,0,28.63624564,0,22.12409136,13.38569056,-0.080408391,-0.176997597,10.48852193,0,4.32687552,-4.120685692,0.235294118,26,1,8,0,0,0,2,0,2,5,1,9,7,0,0,0,2,3.3747,96.9144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COc1ccc(OC)c(C(C)NS(=O)(=O)c2ccc(C)c([N+](=O)[O-])c2)c1,4537,12.65035297,-3.975810303,12.65035297,0.177302821,0.584353255,380.422,360.262,380.1042074,140,0,0.273152262,-0.496752107,0.496752107,0.273152262,1.115384615,1.807692308,2.384615385,32.23327209,10.08150439,2.234960988,-2.18114625,2.304351463,-2.269479936,7.891245674,-0.385183236,2.378685365,926.845498,19.48276318,14.84640351,15.66290009,12.18990769,7.685849946,9.169013194,5.65625917,7.370239526,3.922901161,5.461292105,2.495107797,3.737584014,-2.65,414817.1964,19.67179585,7.710178912,4.115543814,151.5039122,9.473725908,11.49902367,0,10.02329115,5.687386275,0,10.11431827,13.13989185,0,0,6.066367068,38.11294267,23.23511088,24.03838961,22.81483394,15.71067743,0,4.722094864,0,24.7847987,14.21959508,57.63942366,0,11.49902367,14.19582077,5.687386275,11.49902367,0,27.56070312,10.02329115,17.03805547,24.09248101,41.29368589,0,0,0,107.77,20.98844303,18.53211525,0,10.58286975,22.62592665,6.066367068,26.35232922,32.0465756,0,4.722094864,9.473725908,38.25478024,0,10.27300744,11.05857425,0.715730375,1.049729976,8.188605248,0,3.197561348,-0.987988875,0.294117647,26,1,8,0,0,0,2,0,2,6,1,9,7,0,0,0,2,2.95992,96.1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cc1ccc(S(=O)(=O)NC(C)c2ccc3c(c2)OCCO3)cc1[N+](=O)[O-],4538,12.60113119,-3.928226542,12.60113119,0.153524686,0.633024084,378.406,360.262,378.0885573,138,0,0.273152262,-0.486147284,0.486147284,0.273152262,1.115384615,1.807692308,2.5,32.2332721,10.09109731,2.229253942,-2.207477107,2.327470297,-2.268695973,7.891241621,-0.385183216,1.850792065,957.7206156,18.89697675,14.26061708,15.07711366,12.27569413,7.946703635,9.429866882,5.951474346,7.665454703,4.085758056,5.624149,2.651152142,3.902744176,-2.65,603952.3464,18.15039214,6.926957924,3.630382562,150.498081,9.473725908,13.21376393,11.49902367,10.02329115,5.687386275,0,10.11431827,13.13989185,0,0,12.13273414,37.6100271,17.67165939,9.818794524,22.81483394,15.71067743,0,4.722094864,0,24.7847987,13.21376393,57.63942366,0,11.49902367,14.19582077,5.687386275,11.49902367,0,26.55487196,10.02329115,17.03805547,24.09248101,41.29368589,0,0,0,107.77,20.98844303,18.53211525,0,10.58286975,35.83969058,6.066367068,12.13273414,32.0465756,0,4.722094864,9.473725908,38.69151464,0,10.29350281,11.04563775,0.854748593,1.175915012,8.468432312,0,4.148475428,-3.928226542,0.294117647,26,1,8,0,1,1,2,0,2,6,1,9,5,0,0,0,3,2.71392,94.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CCN(c1ccc(C(=O)Nc2cccc([N+](=O)[O-])c2C)cc1)S(C)(=O)=O,4539,12.38223549,-3.399273286,12.38223549,0.078807462,0.614676398,377.422,358.27,377.1045417,138,0,0.273877641,-0.321491895,0.321491895,0.273877641,1.192307692,1.807692308,2.307692308,32.23325721,10.11625367,2.173470887,-2.200838464,2.25550506,-2.289469106,7.916182614,-0.384936366,2.240679442,939.3707502,19.48276318,14.5924756,15.40897218,12.14608427,7.77936061,9.627672229,5.63555521,7.542368484,3.855121228,5.124801413,2.538777455,3.512462084,-2.94,387944.6901,19.38559223,7.524381328,4.173859727,151.1981775,5.316788604,0,0,10.02329115,11.594566,0,19.21407144,8.417796984,0,0,6.066367068,44.17930974,18.17457497,28.11730427,18.13564522,32.99262971,0,0,0,13.8474744,22.42253018,63.70579073,0,0,9.622004595,17.06215882,0,0,32.04881335,10.02329115,17.03805547,22.84517737,42.46456948,0,0,0,109.62,20.85378193,23.32665244,0,12.23214268,22.50167553,6.255769184,28.57068427,32.0465756,0,5.316788604,0,24.69946339,0,22.85225947,13.61908413,1.392110666,-0.442081444,10.53410102,1.113297936,3.547704791,-3.399273286,0.235294118,26,1,8,0,0,0,2,0,2,5,1,9,6,0,0,0,2,2.94142,100.0924,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CCCC[N+]12C(O)C(CC)C3CC1C1N(C)c4ccccc4C14CC2C3C4O,4540,11.95447318,-0.271503212,11.95447318,0.128562098,0.786064356,383.556,348.276,383.2693048,152,0,0.19366112,-0.391557138,0.391557138,0.19366112,1.178571429,1.964285714,2.714285714,16.30224033,9.599765708,2.823233115,-2.677780575,2.71095888,-2.825470297,5.663874465,-1.039047409,1.588528411,813.5498165,19.42192077,17.4596983,17.4596983,13.5349117,11.59170215,11.59170215,10.43163387,10.43163387,10.01731326,10.01731326,9.272177618,9.272177618,-1.1,4852817.148,17.73251933,5.527400429,1.613109929,168.2893117,15.11296452,6.041840829,6.227901171,0,0,0,4.483030858,0,0,0,38.46739723,30.38936785,37.4125136,30.14739492,14.69608565,5.687386275,0,0,17.75371814,81.82396303,18.49233812,29.82891977,0,0,4.899909731,5.687386275,0,0,58.74590408,5.414990469,17.75371814,51.51503401,24.26546827,0,0,0,43.7,0,10.21305479,0,17.74685803,35.87924063,23.86943051,30.51330264,0,0,50.06052439,0,0.884244615,0,2.488232237,23.71207837,2.563915777,1.182137556,9.999207793,5.08930154,5.589075609,2.2418065,0.75,28,2,4,1,5,6,1,0,1,3,2,4,4,1,4,5,7,2.8694,109.931,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cc1ccc2[nH]cc(CC[NH2+]C3CC(=O)N(c4cccc([N+](=O)[O-])c4)C3=O)c2c1,4541,12.74473904,-0.540629961,12.74473904,0.09178372,0.377763851,393.423,372.255,393.1557316,148,0,0.292015494,-0.360885825,0.360885825,0.292015494,1.24137931,2.068965517,2.862068966,16.62828624,10.07952508,2.419481688,-2.135373437,2.253691201,-2.915433551,6.214584901,-0.673586334,1.430927846,1120.821515,20.54324112,15.92224339,15.92224339,13.93556075,9.450187029,9.450187029,7.292294557,7.292294557,5.268058412,5.268058412,3.795618474,3.795618474,-3.52,4979087.976,18.82531625,7.478914744,3.617339738,166.2138017,10.30076712,0,6.041840829,5.907179729,11.594566,0,19.70339264,4.899909731,0,0,17.69618563,30.6862899,35.65332426,23.57627535,19.82917402,34.09205694,0,4.983978521,0,25.80722127,11.44466614,69.9026343,0,0,10.21669833,11.37477255,0,0,34.30824626,16.00989599,17.03805547,17.54772461,48.66141305,0,10.90292493,0,112.92,10.96515188,19.70339264,0,29.60995363,6.544756406,16.83743207,34.7122284,6.066367068,24.50373644,17.11671266,0,0,0,39.88022041,14.02477947,3.537672613,-0.66228142,11.34188815,2.835044219,2.709343216,0,0.238095238,29,3,8,0,1,1,2,1,3,4,2,8,6,0,1,1,4,1.82252,107.5265,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(=O)N2CCC([NH+]3CCc4ccccc4C3)C2)cc1[N+](=O)[O-],4542,12.9013752,-0.516147428,12.9013752,0.148090147,0.641597349,382.44,358.248,382.1761327,146,0,0.311201977,-0.49013538,0.49013538,0.311201977,1.25,2.035714286,2.785714286,16.63090785,9.982499336,2.353152924,-2.302472697,2.281186595,-3.154269074,5.950131015,-0.938200361,1.4518244,914.2737502,19.67299763,15.88886319,15.88886319,13.56288195,9.596083499,9.596083499,7.484239799,7.484239799,5.926666384,5.926666384,4.376772032,4.376772032,-2.93,3802080.344,18.43408939,7.59489674,3.450138391,163.2090244,14.53668242,12.58659724,5.749511833,0,5.907179729,5.687386275,14.90885545,0,0,0,24.26546827,17.69618563,36.5796697,25.1226214,19.35462092,11.594566,0,4.899909731,0,25.42824048,26.74406676,69.26924222,0,5.749511833,9.636772685,5.687386275,5.749511833,0,48.5163081,12.96557803,10.11431827,27.90571328,42.46456948,0,0,0,77.12,4.923311049,14.90885545,0,17.34407784,24.69480513,25.93115606,35.26934439,6.066367068,4.899909731,24.26546827,4.736862954,5.022045176,0,26.96455773,11.2333216,2.996784078,0.016053328,13.39641875,2.029876843,3.457569666,1.383372831,0.380952381,28,1,7,0,2,2,2,0,2,4,1,7,4,0,1,1,4,1.4591,103.6366,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C[N+]1(CCOC(=O)CCC(=O)OCC[N+]2(C)CCCCCC2)CCCCCC1,4543,11.93175636,-0.287145264,11.93175636,0.1197149,0.442648409,398.588,356.252,398.3133607,162,0,0.306088042,-0.45965856,0.45965856,0.306088042,0.607142857,0.928571429,1.25,16.54025073,10.2098642,2.245510375,-2.327019412,2.164387631,-2.468258367,5.771038822,-0.908488323,1.54278609,434.9284246,20.29683616,18.25534241,18.25534241,13.40901404,11.39274742,11.39274742,9.350015655,9.350015655,6.613384812,6.613384812,4.460216275,4.460216275,-1.14,1510425.268,23.14199659,11.76305445,8.907737578,170.8811181,18.43978762,26.30327674,0,0,0,11.93861058,9.589074368,0,0,0,0,51.36657298,0,53.11601283,28.02886199,11.93861058,0,0,0,64.20821623,66.57764633,0,0,0,0,0,0,0,87.48231862,19.06280028,0,64.20821623,0,0,0,0,52.6,0,9.589074368,0,24.78025382,13.21376393,22.05557453,77.54559861,0,0,14.09534397,9.473725908,12.71547459,0,23.86351272,0,0,-0.574290528,0,10.52442031,7.296650871,4.507565373,0.909090909,28,0,6,0,2,2,0,0,0,4,0,6,9,0,2,2,2,2.8942,109.6588,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CC(C(=O)[O-])n1cc(/C=C2\C(=O)[N-]N(c3ccccc3)C2=O)c2ccccc21,4544,12.73785436,-1.223862939,12.73785436,0.076056311,0.517205126,373.368,358.248,373.1073531,140,0,0.246637236,-0.552091893,0.552091893,0.246637236,1.071428571,1.75,2.464285714,16.36805584,10.09545569,2.251297724,-2.267790175,2.314489021,-2.306523874,6.375806437,-0.309208036,1.789331943,1131.018025,19.83613434,14.90283718,14.90283718,13.46923425,8.647406231,8.647406231,6.419539844,6.419539844,4.674377074,4.674377074,3.199680929,3.199680929,-3.87,3332102.2,17.53916848,6.69608629,2.825951148,160.0070863,29.69740533,5.907179729,0,5.907179729,0,0,4.794537184,0,0,0,36.39820241,31.19885851,28.35060627,17.58425065,19.49013895,40.44999606,0,4.567099648,0,12.96557803,5.008912524,77.35649461,0,0,10.11543992,5.687386275,0,0,22.35076439,14.38361155,0,18.52902952,66.36725172,0,22.40473644,0,96.54,23.82550558,19.49013895,0,5.57310453,16.76753848,10.39513674,12.99975731,65.36124684,0,5.425791397,0,1.5486815,0,36.41121631,13.11451075,5.482695249,-2.390886328,14.9321445,3.057350718,1.510953956,0,0.095238095,28,0,7,0,1,1,2,1,3,5,0,7,4,0,1,1,4,2.1977,101.927,1,0,0,0,0,1,0,0,1,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cc(/C=C2\SC(=O)[N-]C2=O)c(C)n1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,4545,11.67347428,-1.516453656,11.67347428,0.179779331,0.716976445,383.361,372.273,383.0354278,138,0,0.119605742,-0.581438734,0.581438734,0.119605742,1.037037037,1.62962963,2.111111111,32.16666579,10.09054779,2.16624451,-2.149037985,2.34242507,-2.258000624,8.187851622,-0.254764571,2.139337353,1018.111553,19.8779507,14.13891657,14.95541315,12.66761155,7.637778497,8.454275077,5.798871849,6.792063253,4.005139535,4.783431814,2.838020948,3.473549475,-3.33,993195.4557,18.46075934,6.764643933,3.491450078,157.0392601,39.27509178,5.239211713,0,0,0,0,0,0,0,0,11.76188495,60.87931726,21.98037878,17.84579031,29.39120353,40.92290707,0,4.567099648,0,13.8474744,0,62.56560386,0,5.687386275,10.21305479,4.794537184,0,11.76188495,27.65210167,4.794537184,13.8474744,37.66728483,29.17060479,0,17.08019499,0,133.43,23.08500202,29.39120353,0,16.0320395,22.63869376,17.82825202,18.20875424,24.48094112,0,5.316788604,0,1.633265779,0.725607995,45.50604521,25.13933406,1.587292211,-3.650509314,5.259500401,1.516367788,3.449762535,0,0.111111111,27,0,8,0,1,1,1,1,2,8,0,9,4,0,1,1,3,0.92914,93.234,0,0,0,0,2,1,0,0,2,2,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
